,H2,O2,N2,CH4,CO,CO2,C2H4,C2H6,C2H2,Dielectric rigidity,Water content,Life expectation,Health index,R1,R2,R3,R4,R5,R6
7,3,15459,41347,5,68,902,12,2,13,71,6,19.0,73.2,1.6666666666666667,1.0833333333333333,2.6,0.15384615384615385,6.0,13.264705882352942
8,16,2470,59600,8,520,2660,5,8,2,56,4,6.0,72.8,0.5,0.4,0.25,4.0,0.625,5.115384615384615
10,4,26100,60600,1,206,1440,13,0,13,56,4,6.0,63.4,0.25,1.0,13.0,0.0,0.0,6.990291262135922
11,4,21800,46200,0,75,655,3,0,11,53,5,6.0,63.4,0.0,3.6666666666666665,0.0,0.0,0.0,8.733333333333333
22,122,294,73100,50,372,2180,69,31,0,35,19,6.0,59.3,0.4098360655737705,0.0,0.0,0.0,2.225806451612903,5.860215053763441
23,106,581,75200,47,760,4070,11,30,0,29,5,6.1,58.3,0.44339622641509435,0.0,0.0,0.0,0.36666666666666664,5.355263157894737
24,95,1760,80800,72,488,3050,10,36,0,55,12,6.1,58.0,0.7578947368421053,0.0,0.0,0.0,0.2777777777777778,6.25
25,87,362,76100,47,560,3920,5,31,0,52,4,17.5,57.4,0.5402298850574713,0.0,0.0,0.0,0.16129032258064516,7.0
26,79,699,75700,72,508,3810,83,42,0,48,5,7.4,56.0,0.9113924050632911,0.0,0.0,0.0,1.9761904761904763,7.5
28,76,324,71700,45,904,5220,10,27,0,45,8,6.5,55.1,0.5921052631578947,0.0,0.0,0.0,0.37037037037037035,5.774336283185841
29,14,17600,44300,0,161,2010,22,0,0,49,16,6.6,51.6,0.0,0.0,0.0,0.0,0.0,12.48447204968944
30,14,2750,29500,12,54,5190,0,0,0,55,3,15.2,51.6,0.8571428571428571,0.0,0.0,0.0,0.0,96.11111111111111
31,40,2350,65000,8,538,2480,9,0,1,56,62,29.1,51.5,0.2,0.1111111111111111,0.125,0.0,0.0,4.609665427509293
32,5,9400,37100,4,496,2720,3,0,1,56,51,29.1,51.5,0.8,0.3333333333333333,0.25,0.0,0.0,5.483870967741935
33,7,12300,32200,0,302,3640,3,0,1,55,36,29.1,51.5,0.0,0.3333333333333333,0.0,0.0,0.0,12.052980132450331
49,135,5091,48792,33,568,1301,3,5,0,66,3,30.0,50.3,0.24444444444444444,0.0,0.0,0.0,0.6,2.290492957746479
50,0,219,56900,4,20,507,30,49,67,50,3,30.2,50.0,0.0,2.2333333333333334,16.75,0.7313432835820896,0.6122448979591837,25.35
51,38,3127,16464,11,177,727,28,3,19,75,38,30.3,49.9,0.2894736842105263,0.6785714285714286,1.7272727272727273,0.15789473684210525,9.333333333333334,4.107344632768362
54,52,387,68400,37,936,6130,8,21,0,56,4,17.4,49.1,0.7115384615384616,0.0,0.0,0.0,0.38095238095238093,6.549145299145299
55,30,413,19600,39,140,2690,17,48,0,56,7,17.5,49.0,1.3,0.0,0.0,0.0,0.3541666666666667,19.214285714285715
56,24,455,21700,41,186,2790,10,65,0,52,3,17.5,48.9,1.7083333333333333,0.0,0.0,0.0,0.15384615384615385,15.0
